# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2016-01-01 to 2016-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2016-11-20 07:10:00,Pamplin,VA,Changing
2016-11-19 22:00:00,Apollo Beach,FL,Light
2016-11-19 21:30:00,Salt Lake City,UT,Circle
2016-11-19 21:00:00,Myrtle Beach,SC,Circle
2016-11-19 20:40:00,Oregon City,OR,Light
2016-11-19 20:00:00,San Marcos,CA,Circle
2016-11-19 19:15:00,Jefferson City,MO,Chevron
2016-11-19 19:00:00,Victoria (Canada),BC,Oval
2016-11-19 19:00:00,Boynton Beach,FL,Circle
2016-11-19 18:30:00,Brandon,FL,Triangle
2016-11-19 18:30:00,Zephyrhills,FL,Fireball
2016-11-19 18:22:00,Bristol,CT,Light
2016-11-19 18:15:00,Woodbridge,VA,Formation
2016-11-19 18:00:00,Fishers,IN,Light
2016-11-19 17:30:00,Woodbridge,VA,Circle
2016-11-19 17:30:00,Louisville,KY,Other
2016-11-19 16:30:00,Blaine,MN,Rectangle
2016-11-19 16:00:00,Ferrisburgh,VT,Light
2016-11-19 15:00:00,Springfield,MA,Circle
2016-11-19 13:00:00,Minneapolis,MN,Rectangle
2016-11-19 12:05:00,Newnan,GA,Light
2016-11-19 11:30:00,Largo,FL,Chevron
2016-11-19 09:00:00,Cape Coral,FL,Unknown
2016-11-19 07:34:00,Wichita,KS,Light
2016-11-19 07:00:00,Smithton,PA,Oval
2016-11-19 05:05:00,Obernburg,NY,Cylinder
2016-11-19 01:40:00,Litchfield Park/Glendale,,Unknown
2016-11-18 23:30:00,Columbus,OH,Cylinder
2016-11-18 23:00:00,Sioux Falls,SD,Chevron
2016-11-18 21:00:00,Fletcher,NC,Triangle
2016-11-18 19:30:00,Thunder Bay (Canada),ON,Light
2016-11-18 19:25:00,Billings,MT,Triangle
2016-11-18 19:25:00,Billings,MT,Triangle
2016-11-18 19:15:00,Stone Creek,OH,Triangle
