# S&P 500 companies
"ticker","callsign","company","sector"
"SWK","NYSE:SWK","Stanley Black & Decker","Consumer Discretionary"
"SPLS","NASDAQ:SPLS","Staples Inc.","Consumer Discretionary"
"SBUX","NASDAQ:SBUX","Starbucks Corp.","Consumer Discretionary"
"STT","NYSE:STT","State Street Corp.","Financials"
"SRCL","NASDAQ:SRCL","Stericycle Inc","Industrials"
"SYK","NYSE:SYK","Stryker Corp.","Health Care"
"STI","NYSE:STI","SunTrust Banks","Financials"
"SYMC","NASDAQ:SYMC","Symantec Corp.","Information Technology"
"SYF","NYSE:SYF","Synchrony Financial","Financials"
"SNPS","NASDAQ:SNPS","Synopsys Inc.","Information Technology"
"SYY","NYSE:SYY","Sysco Corp.","Consumer Staples"
"TROW","NASDAQ:TROW","T. Rowe Price Group","Financials"
"TGT","NYSE:TGT","Target Corp.","Consumer Discretionary"
"TEL","NYSE:TEL","TE Connectivity Ltd.","Information Technology"
"FTI","NYSE:FTI","TechnipFMC","Energy"
"TSO","NYSE:TSO","Tesoro Petroleum Co.","Energy"
"TXN","NASDAQ:TXN","Texas Instruments","Information Technology"
"TXT","NYSE:TXT","Textron Inc.","Industrials"
"TMO","NYSE:TMO","Thermo Fisher Scientific","Health Care"
"TIF","NYSE:TIF","Tiffany & Co.","Consumer Discretionary"
"TWX","NYSE:TWX","Time Warner Inc.","Consumer Discretionary"
"TJX","NYSE:TJX","TJX Companies Inc.","Consumer Discretionary"
"TMK","NYSE:TMK","Torchmark Corp.","Financials"
"TSS","NYSE:TSS","Total System Services","Information Technology"
